,source,text,date,compound_score,pos_score,neu_score,neg_score
52,BBC News (World),Russia state of emergency as toxic dump fumes hit town near Moscow https://t.co/jzgICamFwk,Fri Mar 30 10:10:34 +0000 2018,-0.6486,0.0,0.613,0.387
53,BBC News (World),Facebook 'ugly truth' growth memo haunts firm https://t.co/wkFtFBoWsH,Fri Mar 30 09:51:30 +0000 2018,-0.1027,0.345,0.282,0.373
54,BBC News (World),NZ seniors' group hits back at 'elderly driver' plates https://t.co/KrHANEWpya,Fri Mar 30 09:27:39 +0000 2018,0.0,0.0,1.0,0.0
55,BBC News (World),Grace Mugabe's farm invaded by Zimbabwe gold diggers https://t.co/tTffJxjUDr,Fri Mar 30 09:01:54 +0000 2018,0.4215,0.259,0.741,0.0
56,BBC News (World),"RT @BBCVishalaSP: Female cabin crew at Cathay Pacific have won a battle to scrap a rule forcing them to wear skirts, we're asking does work…",Fri Mar 30 07:46:20 +0000 2018,0.2732,0.136,0.769,0.095
57,BBC News (World),The South Korean rock band returning to perform in Pyongyang https://t.co/Wdyum09TQf,Fri Mar 30 07:27:58 +0000 2018,0.0,0.0,1.0,0.0
58,BBC News (World),"Colombian church donates 250,000 communion wafers to Venezuela https://t.co/UWTGBxvtQx",Fri Mar 30 07:18:08 +0000 2018,0.0,0.0,1.0,0.0
59,BBC News (World),Easter: Irish pubs lift Good Friday alcohol ban https://t.co/Jfs8mwLBqL,Fri Mar 30 05:55:35 +0000 2018,-0.1779,0.215,0.519,0.267
60,CBS News,"A 48-foot section of the ""holy grail of shipwrecks"" has washed ashore on a Florida beach, thrilling researchers who… https://t.co/j7lmzgOKBy",Fri Mar 30 16:41:02 +0000 2018,0.4767,0.154,0.846,0.0
61,CBS News,"The Vatican is denying that Pope Francis told an Italian journalist that ""there is no hell"" https://t.co/2lBJdM9gna https://t.co/BYjyjvFDpd",Fri Mar 30 16:25:01 +0000 2018,-0.8481,0.0,0.62,0.38
62,CBS News,"In a clear signal to the West, Russia released video today of a test launch of a new intercontinental ballistic mis… https://t.co/GQ5pd48er6",Fri Mar 30 16:08:00 +0000 2018,0.3818,0.126,0.874,0.0
63,CBS News,"A 19,000-pound space station is falling toward Earth and scientists project it may land sometime between Saturday a… https://t.co/0V84xoyDzL",Fri Mar 30 15:50:32 +0000 2018,-0.1531,0.0,0.914,0.086
64,CBS News,"American service member killed in Syria roadside bombing, U.S. military official confirms to CBS News… https://t.co/Liu7lEzydg",Fri Mar 30 15:35:01 +0000 2018,-0.6705,0.0,0.769,0.231
65,CBS News,A search and rescue team of 9 people and a cadaver dog are searching the area where an SUV plunged off a California… https://t.co/bGMsAqXLf9,Fri Mar 30 15:20:01 +0000 2018,0.5106,0.148,0.852,0.0
66,CBS News,"""We have a little slogan we say, 'Worship, work and win.' We need to do all of those things. God always hears, but… https://t.co/M7KiCbT1QM",Fri Mar 30 15:04:56 +0000 2018,0.2732,0.087,0.913,0.0
67,CBS News,"WATCH LIVE: Sister Jean Schmidt, Loyola-Chicago's team chaplain, gives a press conference ahead of the #FinalFour… https://t.co/w4Vi7Oz8MY",Fri Mar 30 15:01:23 +0000 2018,0.0,0.0,1.0,0.0
68,CBS News,"""I feel so bad for themI lost a child, I know how it feels,” Noor Salman’s cousin says to victims of Pulse nightclu… https://t.co/NnFdJTQcak",Fri Mar 30 14:56:56 +0000 2018,-0.8439,0.0,0.676,0.324
69,CBS News,"""I said from day one that she was innocent and that I will stand here in front of you when the jury comes up with t… https://t.co/9yyHq4zqCX",Fri Mar 30 14:53:07 +0000 2018,0.34,0.088,0.912,0.0
70,CBS News,"""The family wants to first say we are very sorry for the family members and friends of the 49 victims of the Pulse… https://t.co/xFzLfWhgOe",Fri Mar 30 14:50:36 +0000 2018,0.0534,0.111,0.75,0.139
71,CBS News,"Noor Salman, the wife of the Pulse nightclub shooter, cried when the not guilty verdict was read and so did the fam… https://t.co/W6Fq4UYKFL",Fri Mar 30 14:42:04 +0000 2018,-0.1808,0.088,0.758,0.153
72,CBS News,"""I think many people will be surprised by the verdict, and perhaps others who followed the trial more closely won't… https://t.co/W6IolJGwhm",Fri Mar 30 14:39:20 +0000 2018,0.3612,0.156,0.844,0.0
73,CBS News,"NEW: Noor Salman, the wife of Pulse nightclub shooter Omar Mateen, found not guilty of aiding her husband with the… https://t.co/pNTpXnAJD7",Fri Mar 30 14:35:17 +0000 2018,0.3252,0.104,0.896,0.0
74,CBS News,"WATCH: SpaceX Falcon 9 rocket launches into space from Vandenberg Air Force Base in California, carrying 10 communi… https://t.co/0rNRzxM0RK",Fri Mar 30 14:17:31 +0000 2018,0.0,0.0,1.0,0.0
75,CBS News,Investigators on special counsel Robert Mueller's team have been asking questions about the 2016 Republican Nationa… https://t.co/J3G9omw3jP,Fri Mar 30 14:15:01 +0000 2018,0.4019,0.144,0.856,0.0
76,CBS News,"NEW: Jurors have reached a verdict in the trial of Noor Salman, the widow of the Pulse nightclub shooter; verdict e… https://t.co/IC13CZMUAt",Fri Mar 30 14:03:59 +0000 2018,0.3818,0.204,0.796,0.0
77,CBS News,"Russian ships are lurking around underwater communications cables, causing the U.S. and its allies to worry the Kre… https://t.co/VTBt6bBJ78",Fri Mar 30 14:00:02 +0000 2018,-0.5267,0.0,0.794,0.206
78,CBS News,"Hard numbers:
▪️70: Estimated 70% of guns recovered at crime scenes in Mexico crime since 2009 were purchased in th… https://t.co/3vYMH9fZ4K",Fri Mar 30 13:45:19 +0000 2018,-0.8126,0.0,0.682,0.318
79,CBS News,Walmart's appeal is gaining among Democrats as a majority of shoppers who identify as Democrats now say they would… https://t.co/UFKVL7OOLv,Fri Mar 30 13:45:01 +0000 2018,0.4215,0.135,0.865,0.0
80,The New York Times,"In college basketball, Catholic schools have long punched well above their weight. The reasons stretch back a centu… https://t.co/wJkwuvDZRS",Fri Mar 30 16:48:03 +0000 2018,0.2732,0.11,0.89,0.0
81,The New York Times,"RT @dgelles: Cash may be king, but it's no longer essential. 

I've gone cashless. My essay here: 
https://t.co/laHrQD9j1F",Fri Mar 30 16:38:07 +0000 2018,-0.4215,0.0,0.859,0.141
82,The New York Times,The midterm elections will determine the political script for the rest of President Trump’s first term. And Pennsyl… https://t.co/ZpZGFxjunA,Fri Mar 30 16:28:05 +0000 2018,0.0,0.0,1.0,0.0
83,The New York Times,"Puerto Ricans are trickling back to the island. They must come to terms with a Puerto Rico that is still crippled,… https://t.co/Wml9x3rYyw",Fri Mar 30 16:18:03 +0000 2018,-0.0516,0.0,0.943,0.057
84,The New York Times,Hope Hicks has left the building. Those who remain are wondering what happens now. https://t.co/ds3NJlS4i8,Fri Mar 30 16:08:02 +0000 2018,0.4404,0.172,0.828,0.0
85,The New York Times,"In Opinion

Alex Wagner writes: ""Racially speaking, the United States is 0% Hispanic. This is confusing — especiall… https://t.co/kzJaxIOguf",Fri Mar 30 15:58:04 +0000 2018,0.2263,0.135,0.773,0.092
86,The New York Times,A California judge’s ruling would require cancer warning labels on coffee. The coffee industry is considering how t… https://t.co/1GJ1f9b3Mj,Fri Mar 30 15:48:06 +0000 2018,-0.7783,0.0,0.702,0.298
87,The New York Times,"""That’s how I ended up losing my virginity on a fourth date with a middle-school teacher that I didn’t even particu… https://t.co/Dk0vk6HRT2",Fri Mar 30 15:38:02 +0000 2018,-0.3818,0.0,0.867,0.133
88,The New York Times,Breaking News: What was billed as a peaceful protest along Gaza's border with Israel turned bloody. The Israeli mil… https://t.co/RVW9kEuN82,Fri Mar 30 15:31:03 +0000 2018,-0.1779,0.133,0.664,0.203
89,The New York Times,"There’s been talk of bankruptcy swirling around Gibson, the Nashville-based guitar company. What happened? https://t.co/cOVKNf2Wbm",Fri Mar 30 15:28:03 +0000 2018,0.0,0.0,1.0,0.0
90,The New York Times,A Russian man accused of hacking 3 American tech companies in 2012 has been extradited to the U.S. https://t.co/MnltMkO1Oe,Fri Mar 30 15:18:07 +0000 2018,-0.296,0.0,0.879,0.121
91,The New York Times,"RT @jodikantor: Six months ago, @ronlieber wrote about teachers and firefighters being seriously screwed by a government student loan progr…",Fri Mar 30 15:08:06 +0000 2018,-0.5994,0.0,0.776,0.224
92,The New York Times,"Another week, another news quiz. Tell us how you did. https://t.co/buvo5zeiKz",Fri Mar 30 14:58:04 +0000 2018,0.0,0.0,1.0,0.0
93,The New York Times,"President Trump insisted he will never again sign a huge catchall spending bill. Given the state of Congress,… https://t.co/Ov68bYiDwD",Fri Mar 30 14:48:05 +0000 2018,-0.2411,0.0,0.897,0.103
94,The New York Times,Exxon sued to try to block investigations into its research and public statements about climate change. A judge dis… https://t.co/uFOMCdotBj,Fri Mar 30 14:38:08 +0000 2018,-0.4404,0.0,0.861,0.139
95,The New York Times,"Breaking News: Noor Salman, the widow of the Pulse nightclub shooter, was found not guilty of helping her husband c… https://t.co/O1tNykTV7B",Fri Mar 30 14:33:36 +0000 2018,0.1139,0.1,0.818,0.081
96,The New York Times,"By tying a trade deal with South Korea to progress in denuclearizing North Korea, President Trump is showing how li… https://t.co/IfnzE5hDEO",Fri Mar 30 14:28:06 +0000 2018,0.4215,0.128,0.872,0.0
97,The New York Times,RT @UpshotNYT: Does more immigration mean more crime? In collaboration with the @MarshallProj we look at the data behind this widely held i…,Fri Mar 30 14:18:03 +0000 2018,-0.5849,0.0,0.853,0.147
98,The New York Times,Why do cracking knuckles make that sound? You might need a calculator to explain it. https://t.co/YpjnR3SXN2,Fri Mar 30 14:11:04 +0000 2018,0.0,0.0,1.0,0.0
